,NT.1,NT.2,HNRNPA2B1.1,HNRNPA2B1.2,CD99.1,CD99.2,B4GALNT1.1,B4GALNT1.2
ACTG1P10,0,0.0427719,0,0,0,0,0,0
ACTG1P1,0.134264,0.162561,0.158845,0.372309,0.144468,0.253638,0.135327,0.266195
ACTG1P11,0,0,0,0,0,0,0,0
ACTG1P12,0,0,0,0,0.0463679,0,0,0
ACTG1P13,0,0,0,0,0,0,0,0
ACTG1P14,0,0,0,0,0,0,0,0.223454
ACTG1P15,0,0,0,0,0,0,0,0
ACTG1P16,0,0,0,0,0,0,0,0
ACTG1P17,0.50887,0.565975,0.277915,0.401116,0.375099,0.629505,0.265173,0.276257
ACTG1P18,0,0,0,0,0,0,0,0
ACTG1P19,0,0,0,0,0,0,0,0
ACTG1P2,0,0,0,0,0,0,0,0
ACTG1P20,1.91098,0.541336,0.531651,0.613106,0.463455,0.647393,1.43689,1.28096
ACTG1P21,0.0517895,0,0,0,0,0,0,0
ACTG1P22,0,0,0,0,0,0,0,0
ACTG1P23,0,0,0,0,0,0,0,0
ACTG1P24,0.0609141,0.110891,0.144563,0.253494,0.195902,0,0.183297,0.0601587
ACTG1P25,1.09532,1.7645,1.41498,1.0873,1.1237,1.23965,1.65345,1.2817
ACTG1P3,0.227361,0.165184,0.107611,0,0.146762,0.257647,0.0458219,0.0901386
ACTG1P4,0,0,0,0,0.0288135,0,0,0
ACTG1P9,0,0.0465193,0,0.0178175,0.0185681,0,0,0.0352676
ACTG2,0.176551,0.216059,0,0,0.108787,0.130695,0.104496,0.102702
ACTL10,0.0302777,0,0,0,0,0,0.0306521,0
ACTL11P,0,0,0.013222,0,0,0,0,0
ACTL6A,36.7399,34.7584,29.7947,32.5356,34.3626,33.5472,37.1781,34.4443
ACTL6B,0.48053,0.28645,0.931175,0.327735,0.480105,0.614037,0.507664,0.696362
ACTL7A,0,0,0,0,0,0,0,0
ACTL7B,0,0.031596,0,0.0724512,0,0.0396116,0,0.0346238
ACTL8,0.114042,0.10331,0,0,0.123176,0.0583085,0.0866357,0.0567426
ACTL9,0,0,0,0,0,0,0,0
ACTN1,46.5077,45.9729,45.3577,42.3601,41.1351,46.4182,48.0193,45.6878
ACTN1-DT,0.139316,0.0926488,0.48417,0.290546,0.146697,0.153688,0,0
ACTN2,1.83191,1.95867,0.966614,1.72784,1.90289,1.48337,2.11384,2.26738
ACTN3,0.0157246,0,0,0,0,0.0359537,0.24218,0
ACTN4,86.7591,95.0633,87.1004,84.4974,97.3953,102.309,98.1895,96.0004
ACTN4P1,0,0,0,0,0,0,0,0
ACTN4P2,0,0,0,0,0,0,0,0
ACTP1,0,0,0,0,0,0,0,0
ACTR10,22.8364,26.6711,25.3522,32.8967,25.9606,24.6421,24.5012,24.1038
ACTR1A,114.681,113.612,111.756,115.769,110.398,114.043,111.03,117.411
ACTR1AP1,0,0,0,0,0,0,0,0
ACTR1B,32.7806,28.5358,27.9617,29.1229,32.2235,28.6237,32.6513,33.4326
ACTR2,125.309,124.121,133.09,141.558,137.109,135.963,147.845,143.188
ACTR3,97.0337,98.9447,96.7128,95.5168,102.259,97.9416,114.065,105.139
ACTR3-AS1,0.658708,0.687366,1.13447,0.934869,0.790306,1.14675,0.63655,2.34647
ACTR3B,16.2281,17.0913,12.811,13.2968,12.9035,19.2563,16.8947,18.4495
ACTR3BP1,0,0,0,0,0,0,0,0
ACTR3BP4,0,0,0,0,0.0430021,0,0,0
ACTR3BP6,0,0,0,0,0,0,0,0
ACTR3C,0.869137,1.86026,1.90854,1.1082,0.830933,1.16108,1.10661,0.861578
ACTR3P2,0,0,0,0,0,0,0,0
ACTR3P3,0,0,0,0,0,0,0,0
ACTR5,6.15672,5.90457,5.60029,5.81981,5.67501,5.90599,5.83684,6.07037
ACTR6,21.6103,22.1092,25.1901,28.4251,25.7983,23.6433,28.2301,25.8102
ACTR6P1,0,0,0,0,0,0,0,0
ACTR8,20.6771,18.9778,21.1129,20.1086,19.5734,25.8572,19.9854,22.8874
ACTRT1P1,0,0,0,0,0,0,0,0
ACTRT3,1.51004,1.47118,1.94931,1.42154,2.06182,1.75225,1.38525,2.23984
ACVR1,4.24127,4.73976,4.64586,4.91401,4.85784,4.61898,4.68871,5.51885
ACVR1B,14.8216,12.2806,12.2797,13.3045,13.2916,11.7222,15.2839,14.7793
ACVR1C,0.257251,0.407242,0.446929,0.453115,0.505451,0.620618,0.402155,0.447706
ACVR2A,5.15037,5.04853,5.97818,5.91239,5.44224,5.88736,5.44207,5.71633
ACVR2B,7.28989,7.39323,8.32979,7.7259,7.93518,7.55328,9.26594,9.54627
ACVR2B-AS1,0.961981,0.984992,1.94788,1.88927,1.22037,1.3915,0.942119,1.12532
ACVRL1,0.193537,0.0982707,0.211571,0.285064,0.105076,0.0866536,0.404805,0.193603
ACY1,29.357,24.3865,26.9611,25.3178,25.3042,29.0994,24.8884,21.3511
ACY3,0,0.102588,0,0,0,0,0,0
ACYP1,25.3325,24.0053,30.6795,29.803,29.9587,26.9932,33.8942,28.9041
ACYP2,3.65011,4.9079,3.61272,4.39956,3.81938,5.28198,3.9748,4.83389
ADA2,19.7245,16.1184,17.795,0.0187615,18.5775,20.1442,17.8425,19.3773
ADA,0.134071,0.0323154,0.0210799,20.864,0.0859337,0.148104,0.0184501,0.00894719
ADAD1,0,0,0,0,0,0,0,0
ADAD2,0,0.0209223,0,0,0,0,0.0182785,0.0179444
ADAL,6.24483,6.91435,7.97533,6.20249,7.2863,6.98639,9.40408,9.76724
ADAM10,19.6319,21.9206,19.5323,23.9205,24.4136,23.0472,24.7755,29.15
